mjd	F5100	F5100err	F4265	F4265err	F3750	F3750err	Halpha	Halphaerr	Hbeta	Hbetaerr	HeII4686	HeII4686err	HeI4471	HeI4471err	HeI5876	HeI5876err	dataset
49513.7	2.15300	0.04300							273.90000	5.50000	35.50000	2.80000					WHP98
49520.7	1.93800	0.03900							284.00000	5.70000	15.80000	1.30000					WHP98
49527.7	2.06900	0.07400							281.10000	10.00000	15.20000	1.20000					WHP98
49419.0	1.91000	0.07000							288.00000	7.90000	81.90000	4.60000					BK99
49659.0	1.93300	0.03900							259.70000	5.20000	5.40000	0.40000					WHP98
49672.0	1.80100	0.03600							251.90000	5.00000	6.10000	0.50000					WHP98
49678.9	1.90300	0.12700							240.40000	16.00000	12.80000	1.00000					WHP98
49751.9	3.29500	0.06600							296.40000	5.90000	47.50000	3.80000					WHP98
49758.9	3.42300	0.06800							301.20000	6.00000	50.10000	4.00000					WHP98
49765.8	3.90400	0.07800							323.90000	6.50000	69.80000	5.60000					WHP98
49772.8	3.97500	0.07900							333.10000	6.70000	83.50000	6.70000					WHP98
49595.0	1.53000	0.06000					876.00000	16.00000	266.80000	7.70000	46.50000	3.90000	12.00000	3.80000	38.40000	3.90000	BK99
49784.7	3.81700	0.07600							360.10000	7.20000	82.80000	6.60000					WHP98
49776.0	4.00000	0.11000	4.95000	0.10000			1432.00000	21.00000	414.60000	9.10000	133.90000	5.70000	29.10000	5.00000	68.10000	5.40000	BK99
49785.0	4.17000	0.11000	4.57000	0.10000			1430.00000	21.00000	411.80000	9.10000	135.90000	5.70000	27.90000	5.00000	72.50000	5.60000	BK99
49786.0	3.95000	0.11000	4.30000	0.10000			1600.00000	23.00000	412.90000	9.10000	128.40000	5.60000	22.60000	4.60000	74.90000	5.70000	BK99
49808.8	3.53200	0.07100							362.20000	7.20000	39.70000	3.20000					WHP98
49787.0	3.96000	0.11000	4.44000	0.10000			1529.00000	22.00000	433.60000	9.60000	128.20000	5.60000	30.90000	5.20000	72.10000	5.60000	BK99
49818.8	3.59300	0.07200							358.40000	7.20000	44.80000	3.60000					WHP98
49833.8	3.50300	0.07000							339.40000	6.80000	41.70000	3.30000					WHP98
49839.8	3.92900	0.07900							330.00000	6.60000	63.60000	5.10000					WHP98
49846.8	3.89300	0.07800							329.90000	6.60000	47.40000	3.80000					WHP98
49853.7	4.46900	0.08900							330.20000	6.60000	106.40000	8.50000					WHP98
49860.7	4.59200	0.09200							334.80000	6.70000	119.00000	9.50000					WHP98
49868.7	4.72100	0.09400							355.40000	7.10000	134.60000	10.80000					WHP98
49811.0	3.62000	0.10000	4.36000	0.10000			1485.00000	22.00000	441.10000	9.40000	95.10000	4.90000	35.00000	5.40000	69.30000	5.50000	BK99
49874.7	4.85400	0.09700							370.60000	7.40000	123.30000	9.90000					WHP98
50011.0	4.54600	0.09100							378.20000	7.60000	105.70000	8.50000					WHP98
50017.0	4.37500	0.08700							377.00000	7.50000	106.40000	8.50000					WHP98
50039.0	4.08600	0.08200							382.60000	7.70000	103.00000	8.20000					WHP98
50044.0	3.85100	0.07700							397.50000	7.90000	74.60000	6.00000					WHP98
50053.0	3.38100	0.06800							390.80000	7.80000	55.30000	4.40000					WHP98
50060.9	3.24500	0.06500							379.30000	7.60000	52.00000	4.20000					WHP98
50086.9	3.25600	0.06500							324.20000	6.50000	57.00000	4.60000					WHP98
50093.9	3.28000	0.06600							311.30000	6.20000	80.50000	6.40000					WHP98
50101.9	3.24200	0.06500							322.60000	6.50000	61.40000	4.90000					WHP98
50118.8	2.52500	0.12600							327.40000	16.40000	72.80000	5.80000					WHP98
50122.8	2.69100	0.05400							339.90000	6.80000	58.90000	4.70000					WHP98
50127.8	2.70700	0.05400							338.00000	6.80000	57.50000	4.60000					WHP98
50136.8	2.42200	0.04800							319.60000	6.40000	46.30000	3.70000					WHP98
